Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
R3.1_P2-1+P2-2_MT_20210826,L6,ASO11_10_R3.1P2-2,KQ371_L20_5-10-5_10uM_R3.1P2-2,8.738576605351401,2.29933397737339,0.20315686515711054,6.762381872353643,1.976194732997758,0.2541593599258038,0.036910531748026436,1.802567731178014
R3.1_P2-1+P2-2_MT_20210826,N5,ASO11-2nd_10_R3.1P2-2,KQ371_2nd batch_L20_5-10-5_10uM_R3.1P2-2,9.2247625989294,2.785519970951388,0.14503570662966606,6.762381872353643,2.4623807265757574,0.18144689491480062,0.04273088741156433,1.9296109909232713
R3.1_P2-1+P2-2_Total_20210826,P13,Naive_R3.1P2-2,Naive_R3.1P2-2,4.882236230408701,-0.8018884395181543,1.7433816619348332,6.565564485066851,-1.68332825465815,3.21168022145405,0.4123636699836389,2.4987349481228556
R3.1_P2-1+P2-2_Total_20210826,O10,Ionis1375651_3_R3.1P2-2,Ionis1375651_3uM_R3.1P2-2,5.882742721193001,0.1986180512661457,0.8713848578619994,6.565564485066851,-0.6828217638738501,1.6052764431191675,0.39177185405672904,1.8344180348599481
R3.1_P2-1+P2-2_Total_20210826,L20,ASO150_3_R3.1P2-2,KQ292_L20_5-10-5_3uM_R3.1P2-2,7.266258878500302,1.582134208573447,0.33398744853765705,6.565564485066851,0.7006943934334515,0.6152759926887373,0.06578179589895183,1.9943535803266972
R3.1_P2-1+P2-2_Total_20210826,J2,ASO575_10_R3.1P2-2,KQ2212_L19_5-09-5_10uM_R3.1P2-2,7.911805476009203,2.227680806082348,0.2135016602657145,6.565564485066851,1.346240990942352,0.39331551690293526,0.19182199741390044,1.955358678271891
R3.1_P2-1+P2-2_Total_20210826,M7,ASO576_3_R3.1P2-2,KQ2213_L19_5-09-5_3uM_R3.1P2-2,3.2905492064368005,-2.3935754634900546,5.254580035325396,6.565564485066851,-3.2750152786300504,9.680055228281226,5.195754210622304,2.037923191071484
R3.1_P2-1+P2-2_WT_20210826,P13,Naive_R3.1P2-2,Naive_R3.1P2-2,5.642550405015001,-0.7063821170836988,1.6317071089075619,6.855280559363638,-1.2127301543486366,2.3177583433629985,0.3184843951243534,1.9762899534761151
R3.1_P2-1+P2-2_WT_20210826,P14,Naive_R3.1P2-2,Naive_R3.1P2-2,5.656489332173599,-0.6924431899251005,1.6160179129673926,6.855280559363638,-1.1987912271900383,2.295472625177135,0.3184843951243534,1.9148817471423498
R3.1_P2-1+P2-2_WT_20210826,I20,ASO147_3_R3.1P2-2,KQ457_L20_5-10-5_3uM_R3.1P2-2,6.996440107549098,0.6475075854503984,0.6383822371504273,6.855280559363638,0.14115954818546061,0.9067900411371937,0.10737090932385703,1.8428478324013986
R3.1_P3-1+P3-2_MT_20210826,H9,Ionis676630_10_R3.1P3-1,Ionis676630_10uM_R3.1P3-1,7.072026974989498,0.9044992519223892,0.5342180947383024,6.918225637547451,0.15380133744204727,0.8988788958631869,0.054880189362949895,1.8486282390125135
R3.1_P3-1+P3-2_MT_20210826,A5,ASO185_10_R3.1P3-1,KQ353_L20_5-10-5_10uM_R3.1P3-1,7.5402948407297,1.3727671176625913,0.3861498945013771,6.918225637547451,0.6220692031822495,0.6497383638364381,0.13676535892092953,1.912472742963495
R3.1_P3-1+P3-2_MT_20210826,F14,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,6.820759638534398,0.6532319154672885,0.635854280593143,6.918225637547451,-0.0974659990130533,1.069892613707579,0.21117460821833786,1.8329365161905162
R3.1_P3-1+P3-2_MT_20210826,B14,ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,7.022456941106196,0.8549292180390866,0.5528924521792662,6.918225637547451,0.10423130355874477,0.9303004930775435,0.13968853007550322,1.9107140588576688
R3.1_P3-1+P3-2_MT_20210826,B24,ASO579_3_R3.1P3-1,KQ2223_L20_6-08-6_3uM_R3.1P3-1,6.408184731397,0.2406570083298911,0.8463597893987386,6.918225637547451,-0.5100409061504507,1.4240905736643357,0.2287081690835343,1.8891437872514005
R3.1_P3-1+P3-2_MT_20210826,C4,ASO622_10_R3.1P3-1,KQ352_L20_5-10-5_10uM_R3.1P3-1,6.987281033687999,0.8197533106208903,0.5665388079968876,6.918225637547451,0.06905539614054845,0.9532619415397277,0.21161519301031767,1.8782049124446538
R3.1 P3-1+P3-2_Total_20210826,H18,Naive_R3.1P3-1,Naive_R3.1P3-1,5.043338154203898,-0.1293604938332766,1.0938087391095337,6.152499553668117,-1.1091613994642193,2.157202183828745,0.05244007956393404,1.8149447724507526
R3.1 P3-1+P3-2_Total_20210826,D6,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,6.176137123291198,1.0034384752540235,0.4988097342710359,6.152499553668117,0.023637569623081056,0.9837491780880356,0.078596679819145,1.8391855756186555
R3.1 P3-1+P3-2_Total_20210826,C24,ASO580_3_R3.1P3-1,KQ2224_L20_5-09-6_3uM_R3.1P3-1,5.772153172366199,0.5994545243290244,0.660003452171434,6.152499553668117,-0.38034638130191833,1.3016543363127702,0.06209851423245819,1.863694589080874
R3.1 P3-1+P3-2_Total_20210826,D24,ASO581_3_R3.1P3-1,KQ2225_L20_6-09-5_3uM_R3.1P3-1,5.6947595559969,0.5220609079597249,0.6963763399718504,6.152499553668117,-0.45773999767121687,1.3733886991768778,0.06679817583120397,1.844457678250408
