Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,B19,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,34.31271147,24.63930052,9.67,,,,1.73,1.75,0.30,,,
ASO1-95_MT_1.2-6_20210630,B20,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,34.03831645,24.62595807,9.41,,,,1.47,,,,,
ASO1-95_MT_1.2-6_20210630,B21,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,34.63986687,24.66941178,9.97,,,,2.03,,,,,
ASO1-95_MT_1.2-6_20210630,B22,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,35.58575786,25.40501439,10.18,,,,2.24,1.83,0.28,,,
ASO1-95_MT_1.2-6_20210630,B23,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,34.67651878,25.3955013,9.28,,,,1.34,,,,,
ASO1-95_MT_1.2-6_20210630,B24,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,35.33455929,25.48121431,9.85,,,,1.91,,,,,
ASO1-95_MT_1.2-6_20210630,C1,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,35.82317927,27.52067663,8.30,,,,0.36,0.77,0.59,,,
ASO1-95_MT_1.2-6_20210630,C2,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,36.44596254,27.42127926,9.02,,,,1.09,,,,,
ASO1-95_MT_1.2-6_20210630,C3,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,36.3207894,27.51427787,8.81,,,,0.87,,,,,
ASO1-95_MT_1.2-6_20210630,C4,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,36.67484983,27.72832212,8.95,,,,1.01,0.85,0.55,,,
ASO1-95_MT_1.2-6_20210630,C5,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,36.31997555,27.7608312,8.56,,,,0.62,,,,,
ASO1-95_MT_1.2-6_20210630,C6,ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,36.60652886,27.74296327,8.86,,,,0.92,,,,,
ASO1-95_MT_1.2-6_20210630,C7,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,35.01022094,25.68087987,9.33,,,,1.39,1.24,0.42,,,
ASO1-95_MT_1.2-6_20210630,C8,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,34.66939744,25.62069758,9.05,,,,1.11,,,,,
ASO1-95_MT_1.2-6_20210630,C9,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,34.81989558,25.65492804,9.16,,,,1.23,,,,,
ASO1-95_MT_1.2-6_20210630,C10,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,34.90296682,25.40656586,9.50,,,,1.56,1.22,0.43,,,
ASO1-95_MT_1.2-6_20210630,C11,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,34.35977994,25.3472636,9.01,,,,1.07,,,,,
ASO1-95_MT_1.2-6_20210630,C12,ASO7_3,KQ973_L20_5-10-5_3uM_P1.2-1,34.32841846,25.36499583,8.96,,,,1.02,,,,,
ASO1-95_MT_1.2-6_20210630,C13,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,34.34886826,26.48346565,7.87,,,,-0.07,-0.03,1.02,,,
ASO1-95_MT_1.2-6_20210630,C14,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,34.23128836,26.4984676,7.73,,,,-0.21,,,,,
ASO1-95_MT_1.2-6_20210630,C15,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,34.67478657,26.54589958,8.13,,,,0.19,,,,,
ASO1-95_MT_1.2-6_20210630,C16,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,32.59693761,24.0051584,8.59,,,,0.65,0.70,0.62,,,
ASO1-95_MT_1.2-6_20210630,C17,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,32.48325906,23.96840225,8.51,,,,0.58,,,,,
ASO1-95_MT_1.2-6_20210630,C18,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,32.85268056,24.04216836,8.81,,,,0.87,,,,,
ASO1-95_MT_1.2-6_20210630,C19,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.78836962,23.76486617,8.02,,,,0.08,0.16,0.89,,,
ASO1-95_MT_1.2-6_20210630,C20,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.84290263,23.7315251,8.11,,,,0.17,,,,,
ASO1-95_MT_1.2-6_20210630,C21,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.99295161,23.82633728,8.17,,,,0.23,,,,,
ASO1-95_MT_1.2-6_20210630,C22,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.88164468,23.60024769,8.28,,,,0.34,0.34,0.79,,,
ASO1-95_MT_1.2-6_20210630,C23,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.77893007,23.50341516,8.28,,,,0.34,,,,,
ASO1-95_MT_1.2-6_20210630,C24,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,31.88574325,23.6032088,8.28,,,,0.34,,,,,
ASO1-95_MT_1.2-6_20210630,D1,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,37.88547872,26.94575403,10.94,,,,3.00,3.16,0.11,,,
