Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_WT_20210730,F15,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.19205427,1.06768826,0.4770828530116776,7.707525778333333,0.48452849166666656,0.7147306233043856,0.07195302310209323,0.8290054813370996,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F1,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.482000459999998,1.972130796,0.2548763123916284,7.840800801666664,0.6411996583333339,0.6411795607273232,0.047505211231890714,0.8514151511519491,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F2,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.604700859999998,2.09483119,0.23409545180605193,7.840800801666664,0.7639000583333333,0.5889021891622516,0.047505211231890714,1.2203295527717446,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F3,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.38926613,1.87939646,0.2717973961308969,7.840800801666664,0.548465328333335,0.6837470798992545,0.047505211231890714,0.5510218759429009,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F13,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,7.938108870000001,1.42823919,0.37158413462725115,7.840800801666664,0.09730806833333627,0.9347755675512028,0.04359557468330672,1.2204525027252773,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F14,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.040117390000002,1.530247715,0.3462179152851332,7.840800801666664,0.1993165883333381,0.8709630450270481,0.04359557468330672,0.7701360874566665,1.0,,,
Rd2.1.3_P1+2_Total_20210730,F15,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.072868829999997,1.56299916,0.3384467668215321,7.840800801666664,0.23206802833333295,0.8514135595475661,0.04359557468330672,0.632177989684654,1.0,,,
Rd2.1.3_P1+2_MT_20210730,F1,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,9.153639290000005,1.907836802,0.26649182792983095,7.70747105,1.4461682400000049,0.3669948593775377,0.021203979978785377,1.25525187635864,1.0,,,
Rd2.1.3_P1+2_MT_20210730,F2,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.997853270000004,1.752050787,0.29687946532640347,7.70747105,1.2903822200000041,0.4088426983053053,0.021203979978785377,0.41003725543023306,1.0,,,
Rd2.1.3_P1+2_MT_20210730,F3,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,9.095942070000003,1.850139585,0.27736553078558207,7.70747105,1.3884710200000034,0.38196940209852603,0.021203979978785377,0.9528060924474853,1.0,,,
Rd2.1.3_P1+2_MT_20210730,F13,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.786026929999998,1.540224446,0.34383195902205305,7.70747105,1.0785558799999988,0.4735025564607005,0.008826747792046744,0.895919250338901,1.0,,,
Rd2.1.3_P1+2_MT_20210730,F14,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.76471734,1.518914852,0.3489482853841432,7.70747105,1.057246290000001,0.4805484202626523,0.008826747792046744,1.0382268880823724,1.0,,,
