Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,J12,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,32.3591399075419,25.6263432541622,6.732796653379701,,,,1.0396278979430926,,
R3.1 P1-1+P1-2_Total_20210826,K1,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,32.0717115649887,23.9622708150749,8.109440749913805,,,,2.4162719944771966,2.392066263340692,0.19050935344971257
R3.1 P1-1+P1-2_Total_20210826,K2,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,32.1167494851509,24.0034552295909,8.113294255559996,,,,2.4201255001233877,,
R3.1 P1-1+P1-2_Total_20210826,K3,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,32.0810020848404,24.0480320339823,8.0329700508581,,,,2.339801295421492,,
R3.1 P1-1+P1-2_Total_20210826,K4,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,35.6127187313764,31.6367111933772,3.976007537999198,,,,-1.7171612174374102,0.41736558413429226,0.748790696901682
R3.1 P1-1+P1-2_Total_20210826,K5,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,38.7327304734247,32.3136992582454,6.419031215179302,,,,0.7258624597426939,,
R3.1 P1-1+P1-2_Total_20210826,K6,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,rs8113956,40,32.0634357344658,7.9365642655342015,,,,2.243395510097593,,
R3.1 P1-1+P1-2_Total_20210826,K7,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956,40,31.6481353169127,8.3518646830873,,,,2.658695927650691,1.477483569581092,0.35911465415421706
R3.1 P1-1+P1-2_Total_20210826,K8,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956,37.7924567345689,31.8030167676208,5.989439966948101,,,,0.2962712115114927,,
R3.1 P1-1+P1-2_Total_20210826,K9,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956, ,31.591760262427,,,,,,,
R3.1 P1-1+P1-2_Total_20210826,K10,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956,36.4844260852137,31.0222863208026,5.4621397644110985,,,,-0.2310289910255099,0.761685667027091,0.5898067886537081
