Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P3-1+P3-2_WT_20210826,F22,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.90371704,25.86658529,6.0371317493715,,,,-0.1171950234028,-0.0369425998439,1.0259373258067
R3.1_P3-1+P3-2_WT_20210826,F23,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.84678687,25.90896145,5.9378254191551,,,,-0.2165013536192,,
R3.1_P3-1+P3-2_WT_20210826,F24,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,32.29687532,25.91967997,6.3771953502648,,,,0.2228685774905,,
R3.1_P3-1+P3-2_WT_20210826,D1,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.12154207,24.08962902,7.0319130458388,,,,0.8775862730645,0.6759392299834,0.6259245943215
R3.1_P3-1+P3-2_WT_20210826,D2,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,30.88706786,24.11747542,6.7695924369683,,,,0.6152656641940,,
R3.1_P3-1+P3-2_WT_20210826,D3,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,30.83980407,24.15051155,6.6892925254661,,,,0.5349657526918,,
R3.1_P3-1+P3-2_WT_20210826,D4,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.23735407,24.23579762,7.0015564458571,,,,0.8472296730828,0.7732388452922,0.5851024461176
R3.1_P3-1+P3-2_WT_20210826,D5,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.12330389,24.2495639,6.8737399942034,,,,0.7194132214291,,
R3.1_P3-1+P3-2_WT_20210826,D6,ASO577_10_R3.1P3-1,KQ2221_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.10671875,24.19931834,6.9074004141392,,,,0.7530736413649,,
R3.1_P3-1+P3-2_WT_20210826,D7,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.97289434,24.31872034,6.6541740053727,,,,0.4998472325984,0.3874359921213,0.7644870709058
R3.1_P3-1+P3-2_WT_20210826,D8,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.86194146,24.39244569,6.4694957667624,,,,0.3151689939881,,
R3.1_P3-1+P3-2_WT_20210826,D9,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.78596958,24.28435106,6.5016185225517,,,,0.3472917497774,,
R3.1_P3-1+P3-2_WT_20210826,D10,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.76844507,24.27529109,6.4931539780620,,,,0.3388272052877,0.3051212668212,0.8093741811300
R3.1_P3-1+P3-2_WT_20210826,D11,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.8235804,24.38091366,6.4426667344796,,,,0.2883399617053,,
R3.1_P3-1+P3-2_WT_20210826,D12,ASO577_3_R3.1P3-1,KQ2221_L20_6-08-6_3uM_R3.1P3-1,rs34659510,30.79455486,24.35203145,6.4425234062450,,,,0.2881966334707,,
R3.1_P3-1+P3-2_WT_20210826,E1,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.20732522,24.36841942,6.8389057993172,,,,0.6845790265429,0.8874643655569,0.5405633606206
R3.1_P3-1+P3-2_WT_20210826,E2,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.52164141,24.38816386,7.1334775472969,,,,0.9791507745226,,
R3.1_P3-1+P3-2_WT_20210826,E3,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.50801484,24.35502477,7.1529900683795,,,,0.9986632956052,,
R3.1_P3-1+P3-2_WT_20210826,E4,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.01742165,24.19772971,6.8196919389603,,,,0.6653651661860,0.7785190154511,0.5829649231459
R3.1_P3-1+P3-2_WT_20210826,E5,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.2535635,24.23082566,7.0227378350709,,,,0.8684110622966,,
R3.1_P3-1+P3-2_WT_20210826,E6,ASO578_10_R3.1P3-1,KQ2222_L20_5-09-6_10uM_R3.1P3-1,rs34659510,31.21379892,24.25769133,6.9561075906450,,,,0.8017808178707,,
R3.1_P3-1+P3-2_WT_20210826,E7,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.35690593,23.80785791,6.5490480205664,,,,0.3947212477921,0.3466386861793,0.7864142199321
R3.1_P3-1+P3-2_WT_20210826,E8,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.29164128,23.85166057,6.4399807050059,,,,0.2856539322316,,
R3.1_P3-1+P3-2_WT_20210826,E9,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.32119059,23.80732294,6.5138676512887,,,,0.3595408785144,,
R3.1_P3-1+P3-2_WT_20210826,E10,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.54815012,24.00358778,6.5445623401480,,,,0.3902355673737,0.3419131210392,0.7889943525882
R3.1_P3-1+P3-2_WT_20210826,E11,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.50052473,24.07746281,6.4230619205303,,,,0.2687351477560,,
R3.1_P3-1+P3-2_WT_20210826,E12,ASO578_3_R3.1P3-1,KQ2222_L20_5-09-6_3uM_R3.1P3-1,rs34659510,30.59096525,24.06986983,6.5210954207624,,,,0.3667686479881,,
R3.1_P3-1+P3-2_WT_20210826,B13,ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.71451924,25.16634738,6.5481718676177,,,,0.3938450948434,0.4708943860135,0.7215171609095
R3.1_P3-1+P3-2_WT_20210826,B14,ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.85963631,25.16434607,6.6952902420471,,,,0.5409634692728,,
R3.1_P3-1+P3-2_WT_20210826,B15,ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.82386736,25.19166599,6.6322013666987,,,,0.4778745939244,,
R3.1_P3-1+P3-2_WT_20210826,B16,ASO579_10_R3.1P3-1,KQ2223_L20_6-08-6_10uM_R3.1P3-1,rs34659510,31.30748485,24.14918229,7.1583025565575,,,,1.0039757837832,1.0382798153721,0.4869076877910
