,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
66,Exp_40_WT,KQ830_10uM,KQ830_10uM,6.593,6.5805,0.0125,0.991373087,0.006769710215432316,0.7071067811865475
67,Exp_40_WT,KQ830_10uM,KQ830_10uM,6.806,6.7795,0.0265,0.981799271,0.006769710215432316,-0.7071067811865475
68,Exp_40_WT,KQ920_10uM,KQ920_10uM,6.846,6.5805,0.2655,0.831910367,0.030531193554350165,-0.7071067811865475
69,Exp_40_MT,KQ920_10uM,KQ920_10uM,7.964,7.537,0.427,0.743806881,0.05991918848367292,0.7071067811865475
70,Exp_40_MT,KQ920_10uM,KQ920_10uM,7.404,6.8025,0.6015,0.659068352,0.05991918848367292,-0.7071067811865475
71,Exp_40_WT,KQ920_10uM,KQ920_10uM,6.972,6.7795,0.1925,0.875087995,0.030531193554350165,0.7071067811865475
72,Exp_40_WT,KQ921_10uM,KQ921_10uM,6.842,6.5805,0.2615,0.834220112,0.03277017717340606,-0.707106781186545
73,Exp_40_MT,KQ921_10uM,KQ921_10uM,7.673,6.8025,0.8705,0.546957257,0.04581116015553249,-0.7071067811865493
74,Exp_40_MT,KQ921_10uM,KQ921_10uM,8.246,7.537,0.709,0.611744021,0.04581116015553249,0.7071067811865469
75,Exp_40_WT,KQ921_10uM,KQ921_10uM,6.963,6.7795,0.1835,0.880564141,0.03277017717340606,0.7071067811865483
76,Exp_40_MT,KQ928_10uM,KQ928_10uM,7.623,6.8025,0.8205,0.566245663,0.020343592909491455,-0.7071067811865476
77,Exp_40_WT,KQ928_10uM,KQ928_10uM,7.068,6.7795,0.2885,0.818752891,0.04731366660613847,0.7071067811865475
78,Exp_40_MT,KQ928_10uM,KQ928_10uM,8.286,7.537,0.749,0.595015848,0.020343592909491455,0.7071067811865476
79,Exp_40_WT,KQ928_10uM,KQ928_10uM,6.992,6.5805,0.4115,0.751841262,0.04731366660613847,-0.7071067811865475
80,Exp_40_WT,KQ955_10uM,KQ955_10uM,8.305,6.7795,1.5255,0.347359149,0.025405395589412,-0.7071067811865459
81,Exp_40_MT,KQ955_10uM,KQ955_10uM,9.807,7.537,2.27,0.207329886,0.036457529026579845,0.7071067811865475
82,Exp_40_MT,KQ955_10uM,KQ955_10uM,9.485,6.8025,2.6825,0.155771154,0.036457529026579845,-0.7071067811865475
83,Exp_40_WT,KQ955_10uM,KQ955_10uM,7.964,6.5805,1.3835,0.383287804,0.025405395589412,0.707106781186548
84,Exp_40_WT,KQ956_10uM,KQ956_10uM,7.851,6.5805,1.2705,0.414516088,0.0444034152059937,0.7071067811865475
85,Exp_40_MT,KQ956_10uM,KQ956_10uM,9.432,7.537,1.895,0.268873598,0.042037079534325776,0.7071067811865475
86,Exp_40_WT,KQ956_10uM,KQ956_10uM,8.287,6.7795,1.5075,0.351720176,0.0444034152059937,-0.7071067811865475
87,Exp_40_MT,KQ956_10uM,KQ956_10uM,9.058,6.8025,2.2555,0.20942419,0.042037079534325776,-0.7071067811865475
88,Exp_40_WT,KQ957_10uM,KQ957_10uM,7.749,6.5805,1.1685,0.444883655,0.04185881437925472,0.7071067811865485
89,Exp_40_MT,KQ957_10uM,KQ957_10uM,8.897,6.8025,2.0945,0.234149198,0.060840009804191714,-0.7071067811865482
90,Exp_40_MT,KQ957_10uM,KQ957_10uM,9.18,7.537,1.643,0.320189965,0.060840009804191714,0.7071067811865472
91,Exp_40_WT,KQ957_10uM,KQ957_10uM,8.154,6.7795,1.3745,0.385686352,0.04185881437925472,-0.7071067811865472
92,Exp_40_WT,KQ958_10uM,KQ958_10uM,7.438,6.7795,0.6585,0.633536656,0.10011774018233226,-0.7071067811865475
93,Exp_40_MT,KQ958_10uM,KQ958_10uM,8.056,6.8025,1.2535,0.41942943,0.15124144096107361,-0.7071067811865469
94,Exp_40_MT,KQ958_10uM,KQ958_10uM,8.196,7.537,0.659,0.633317127,0.15124144096107361,0.7071067811865477
95,Exp_40_WT,KQ958_10uM,KQ958_10uM,6.948,6.5805,0.3675,0.775124522,0.10011774018233226,0.7071067811865475
96,Exp_40_MT,KQ980_10uM,KQ980_10uM,7.772,6.8025,0.9695,0.510683021,0.030912799992273466,-0.7071067811865475
97,Exp_40_WT,KQ980_10uM,KQ980_10uM,7.017,6.5805,0.4365,0.738925079,0.04374672867383967,-0.7071067811865457
98,Exp_40_WT,KQ980_10uM,KQ980_10uM,7.1,6.7795,0.3205,0.800792296,0.04374672867383967,0.7071067811865482
99,Exp_40_MT,KQ980_10uM,KQ980_10uM,8.388,7.537,0.851,0.554400322,0.030912799992273466,0.7071067811865475
100,Exp_40_MT,KQ995_10uM,KQ995_10uM,8.451,6.8025,1.6485,0.318971626,0.03742844532701181,-0.7071067811865475
101,Exp_40_WT,KQ995_10uM,KQ995_10uM,7.443,6.7795,0.6635,0.631344786,0.009380405020115534,-0.7071067811865476
102,Exp_40_MT,KQ995_10uM,KQ995_10uM,8.964,7.537,1.427,0.371903441,0.03742844532701181,0.7071067811865475
103,Exp_40_WT,KQ995_10uM,KQ995_10uM,7.214,6.5805,0.6335,0.644610682,0.009380405020115534,0.7071067811865476
104,Exp_40_WT,KQJM069_10uM,KQJM069_10uM,6.964,6.7795,0.1845,0.879953992,0.012382570402319597,0.7071067811865407
105,Exp_40_MT,KQJM069_10uM,KQJM069_10uM,7.09,6.8025,0.2875,0.819320604,0.05660934821305252,-0.7071067811865476
