Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO505-528_MT_20210623,A12,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,32.7091924050977,24.1542374642799,8.554954940817804,,,1.2441384051335778,,,,,,
ASO505-528_MT_20210623,B1,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,37.8484890911837,27.4149062937638,10.433582797419902,,,3.1227662617356753,3.6558062102977065,0.07934008700068644,,,,
ASO505-528_MT_20210623,B2,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,37.4877690993861,27.4762347957003,10.0115343036858,,,2.7007177680015726,,,,,,
ASO505-528_MT_20210623,B3,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,40.0,27.5452488631599,12.454751136840098,,,5.1439346011558715,,,,,,
ASO505-528_MT_20210623,B4,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,36.799398356675,27.0665752151965,9.732823141478498,,,2.4220066057942713,2.6912404636635725,0.15483027847069858,,,,
ASO505-528_MT_20210623,B5,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,37.8217495677458,27.0872546709001,10.734494896845696,,,3.4236783611614694,,,,,,
ASO505-528_MT_20210623,B6,ASO506_10,KQ2086_L19_6-08-5_10uM_P43,36.654033920327,27.1151809606078,9.538852959719204,,,2.2280364240349773,,,,,,
ASO505-528_MT_20210623,B7,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,37.1216229224316,25.728007967961,11.3936149544706,,,4.082798418786373,3.1235391346383725,0.11474163336595161,,,,
ASO505-528_MT_20210623,B8,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,35.6764565176169,25.7285305309422,9.947925986674697,,,2.6371094509904704,,,,,,
ASO505-528_MT_20210623,B9,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,35.7465860032989,25.7850599334764,9.9615260698225,,,2.650709534138274,,,,,,
ASO505-528_MT_20210623,B10,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,34.329929942688,24.6362483223056,9.693681620382396,,,2.382865084698169,2.9267906772078054,0.13150680153586103,,,,
ASO505-528_MT_20210623,B11,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,35.0763337840502,24.683090575293,10.393243208757198,,,3.0824266730729715,,,,,,
ASO505-528_MT_20210623,B12,ASO506_3,KQ2086_L19_6-08-5_3uM_P43,35.3529133783744,24.7270165688379,10.625896809536503,,,3.315080273852276,,,,,,
ASO505-528_MT_20210623,C1,ASO507_10,KQ2087_L20_6-08-6_10uM_P43,34.4636378490712,26.9350801454937,7.528557703577498,,,0.21774116789327103,-0.12976350246706106,1.0941143310248713,,,,
ASO505-528_MT_20210623,C2,ASO507_10,KQ2087_L20_6-08-6_10uM_P43,34.0909639701328,26.9705029333251,7.120461036807697,,,-0.1903554988765297,,,,,,
