Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO42-266_MT_1.2-7_20210701,E5,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,32.21669746,23.98181017,8.23,,,,0.64,,,,,
ASO42-266_MT_1.2-7_20210701,E6,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,32.75618897,23.91327416,8.84,,,,1.25,,,,,
ASO42-266_MT_1.2-7_20210701,E7,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,29.92882945,22.32569786,7.60,,,,0.01,0.03,0.98,,,
ASO42-266_MT_1.2-7_20210701,E8,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,29.88965683,22.21111067,7.68,,,,0.08,,,,,
ASO42-266_MT_1.2-7_20210701,E9,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,29.90859901,22.3161306,7.59,,,,0.00,,,,,
ASO42-266_MT_1.2-7_20210701,E10,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,30.56811804,22.77104606,7.80,,,,0.20,0.02,0.99,,,
ASO42-266_MT_1.2-7_20210701,E11,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,30.29006459,22.7848606,7.51,,,,-0.09,,,,,
ASO42-266_MT_1.2-7_20210701,E12,ASO258_3,KQJM111_L17_4-10-3_3uM_P1.2-3,30.32427904,22.79457278,7.53,,,,-0.06,,,,,
ASO42-266_MT_1.2-7_20210701,E13,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.33345128,22.35560122,7.98,,,,0.38,0.31,0.81,,,
ASO42-266_MT_1.2-7_20210701,E14,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.21967617,22.37366848,7.85,,,,0.25,,,,,
ASO42-266_MT_1.2-7_20210701,E15,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.27591214,22.39885793,7.88,,,,0.28,,,,,
ASO42-266_MT_1.2-7_20210701,E16,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.30946312,22.41140093,7.90,,,,0.30,0.28,0.83,,,
ASO42-266_MT_1.2-7_20210701,E17,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.26786531,22.40737733,7.86,,,,0.27,,,,,
ASO42-266_MT_1.2-7_20210701,E18,ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,30.37622272,22.5259107,7.85,,,,0.26,,,,,
ASO42-266_MT_1.2-7_20210701,E19,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,31.97650784,23.92009327,8.06,,,,0.46,0.45,0.73,,,
ASO42-266_MT_1.2-7_20210701,E20,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,31.89562465,23.90509813,7.99,,,,0.40,,,,,
ASO42-266_MT_1.2-7_20210701,E21,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,32.05365588,23.98211065,8.07,,,,0.48,,,,,
ASO42-266_MT_1.2-7_20210701,E22,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,31.19699309,23.21659877,7.98,,,,0.39,0.50,0.71,,,
ASO42-266_MT_1.2-7_20210701,E23,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,31.20683676,23.21581678,7.99,,,,0.40,,,,,
ASO42-266_MT_1.2-7_20210701,E24,ASO262_3,KQJM115_L17_5-08-4_3uM_P1.2-3,31.5892243,23.26878477,8.32,,,,0.73,,,,,
