,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
62,Rd2.3_P5+6_WT_20210726,P13,Ionis676630_10_P2.3-6,Ionis676630_10uM_P2.3-6,6.776099231398703,0.2949666019889605,0.8150912013313145,6.999352836281642,-0.223253604882939,1.16736328933413,0.13935073877854015,1.861829442819237
63,Rd2.3_P7+8_MT_20210726,H2,Naive_P2.3-7,Naive_P2.3-7,6.571174230510703,-0.2432701410562474,1.1836726407595224,7.367960876521234,-0.7967866460105313,1.7372274401792673,0.17071866758162785,2.3400162306763264
64,Rd2.3_P7+8_MT_20210726,F22,KQ498_3_P2.3-7,KQ498_L20_5-10-5_3uM_P2.3-7,7.6439913123533,0.8295469407863498,0.5627059249216004,7.367960876521234,0.276030435832066,0.825860241982107,0.11333742158115875,1.9331669386104848
65,Rd2.3_P7+8_MT_20210726,E5,KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,8.472013144661197,1.6575687730942468,0.3169728607155703,7.367960876521234,1.104052268139963,0.4652079742874463,0.055668751202330294,1.8517654847507905
66,Rd2.3_P7+8_MT_20210726,F20,KQJM155_3_P2.3-7,KQJM155_L17_4-10-3_3uM_P2.3-7,7.083979292399501,0.2695349208325508,0.8295869352545325,7.367960876521234,-0.283981584121733,1.2175504766365455,0.056103739707051466,1.8493796416222035
67,Rd2.3_P7+8_Total_20210726,B24,KQ2022_3_P2.3-7,KQ2022_L21_6-10-5_3uM_P2.3-7,5.303572170120702,-0.7635381786868471,1.6976489712531417,6.836804682548757,-1.5332325124280546,2.8943362008143145,1.1498533805979372,1.993380903239486
68,Rd2.3_P7+8_Total_20210726,E6,KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.745954440662199,1.67884409185465,0.31233278254743224,6.836804682548757,0.9091497581134425,0.5324988230993373,0.11464393694406844,1.9005597277457478
69,Rd2.3_P7+8_WT_20210726,H3,Naive_P2.3-7,Naive_P2.3-7,6.402638968133999,-0.3105764194794007,1.2402031161017972,7.254710719180776,-0.8520717510467763,1.805091227164143,0.11311883680907157,2.1888651555151037
70,Rd2.3_P7+8_WT_20210726,F12,KQ498_3_P2.3-7,KQ498_L20_5-10-5_3uM_P2.3-7,6.391700097963199,-0.3215152896502014,1.249642382682994,7.254710719180776,-0.863010621217577,1.8188298938997485,0.41785148638227904,1.975798672015683
71,Rd2.3_P7+8_WT_20210726,D22,KQ500_3_P2.3-7,KQ500_L20_5-10-5_3uM_P2.3-7,4.886793708063898,,,7.254710719180776,-2.3679170111168775,5.161953019608648,2.52918017016536,2.0392626955552955
