,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
2114,Rd2.3_P3+4_WT_20210726,L10,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,7.472492668131203,0.8450170613321681,0.5567042254832889,0.02821666925370783,1.0207382945774592
2115,Rd2.3_P3+4_WT_20210726,L11,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,7.423942072476898,0.7964664656778631,0.5757576317240272,0.02821666925370783,0.9110302292405748
2116,Rd2.3_P3+4_WT_20210726,L12,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,7.335320933094501,0.707845326295466,0.6122338312760814,0.02821666925370783,0.7010030439102235
2117,Rd2.3_P3+4_WT_20210726,L22,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,6.8950344873241995,0.2675588805251649,0.830723988027744,0.07014102518773664,0.5570466764136294
2118,Rd2.3_P3+4_WT_20210726,L23,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,6.678614500984402,0.0511388941853674,0.9651740991183891,0.07014102518773664,1.3312001997110119
2119,Rd2.3_P3+4_WT_20210726,L24,KQ958_3_P2.3-4,KQ958_L20_5-10-5_3uM_P2.3-4,6.839568468988102,0.2120928621890669,0.8632839896434242,0.07014102518773664,0.7445246916036155
2120,Rd2.3_P5+6_MT_20210726,G1,Naive_P2.3-5,Naive_P2.3-5,6.5697444433669006,0.0498451251255334,0.9660400288015026,0.018646535757504294,0.6116585165197911
2121,Rd2.3_P5+6_MT_20210726,G2,Naive_P2.3-5,Naive_P2.3-5,6.584403455655103,0.0645041374137358,0.9562739379706617,0.018646535757504294,0.779886550974594
2122,Rd2.3_P5+6_MT_20210726,G3,Naive_P2.3-5,Naive_P2.3-5,6.5310123285503,0.0111130103089331,0.9923266399398604,0.018646535757504294,0.15885247560947036
2123,Rd2.3_P5+6_MT_20210726,G4,Naive_P2.3-5,Naive_P2.3-5,6.423674914660399,-0.096224403580968,1.0689722512584754,0.08044473579478827,1.1614240572483738
2124,Rd2.3_P5+6_MT_20210726,G5,Naive_P2.3-5,Naive_P2.3-5,6.648568700642301,0.1286693824009335,0.9146746784215519,0.08044473579478827,1.4964641243289234
2125,Rd2.3_P5+6_MT_20210726,G6,Naive_P2.3-5,Naive_P2.3-5,6.4754376617195,-0.0444616565218671,1.0312982772367254,0.08044473579478827,0.5124623888021059
2126,Rd2.3_P5+6_MT_20210726,H1,Naive_P2.3-5,Naive_P2.3-5,6.386649447568001,-0.1332498706733664,1.09676152811284,0.03390791001787477,1.640114610623821
2127,Rd2.3_P5+6_MT_20210726,H2,Naive_P2.3-5,Naive_P2.3-5,6.470659678551101,-0.0492396396902661,1.0347194399134068,0.03390791001787477,0.5713944100803353
2128,Rd2.3_P5+6_MT_20210726,H3,Naive_P2.3-5,Naive_P2.3-5,6.4605064899811,-0.0593928282602673,1.0420271216570338,0.03390791001787477,0.6972745557236024
2129,Rd2.3_P5+6_MT_20210726,H4,Naive_P2.3-5,Naive_P2.3-5,6.4783225848394,-0.0415767334019667,1.0292380750412686,0.05587241272016186,0.4769739040107638
2130,Rd2.3_P5+6_MT_20210726,H5,Naive_P2.3-5,Naive_P2.3-5,6.643912056023201,0.1240127377818334,0.9176317803600236,0.05587241272016186,1.4455258875862758
2131,Rd2.3_P5+6_MT_20210726,H6,Naive_P2.3-5,Naive_P2.3-5,6.5659000573391,0.0460007390977326,0.968617693000257,0.05587241272016186,0.5672563714699455
2132,Rd2.3_P5+6_MT_20210726,G7,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,8.798326602459301,2.2784272842179343,0.20612233068531302,0.04816081270734681,0.18860986433362864
2133,Rd2.3_P5+6_MT_20210726,G8,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,8.5304790615446,2.010579743303233,0.24817337598404368,0.04816081270734681,0.769849524094299
2134,Rd2.3_P5+6_MT_20210726,G9,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,8.2463444543747,1.726445136133333,0.3021956636548968,0.04816081270734681,1.5165585745408416
2135,Rd2.3_P5+6_MT_20210726,H7,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,9.513223423409304,2.993324105167937,0.12557976256572878,0.008846417392538478,0.9246688795717193
2136,Rd2.3_P5+6_MT_20210726,H8,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,9.329230034677398,2.8093307164360306,0.14266163157953154,0.008846417392538478,0.6885591785375156
2137,Rd2.3_P5+6_MT_20210726,H9,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,9.4618862490329,2.9419869307915336,0.1301288785277204,0.008846417392538478,0.861789904859534
2138,Rd2.3_P5+6_MT_20210726,G10,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,7.9350549648314015,1.4151556465900343,0.37496929120407624,0.02012740552253976,1.2493928609072058
2139,Rd2.3_P5+6_MT_20210726,G11,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.091038252349101,1.5711389341077338,0.33654260610487535,0.02012740552253976,0.09682513646588123
2140,Rd2.3_P5+6_MT_20210726,G12,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,7.9694222989162995,1.4495229806749323,0.3661424670038281,0.02012740552253976,0.9401590675850362
2141,Rd2.3_P5+6_MT_20210726,H10,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.1893511911539,1.669451872912533,0.31437276144994525,0.021032896229668037,0.873510499681172
2142,Rd2.3_P5+6_MT_20210726,H11,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.2504960310612,1.7305967128198327,0.3013272992180656,0.021032896229668037,1.3305375889361977
2143,Rd2.3_P5+6_MT_20210726,H12,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.065790928846297,1.5458916106049303,0.34248397477860204,0.021032896229668037,0.11132129659102247
2144,Rd2.3_P5+6_MT_20210726,G13,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,6.692939638493602,0.1730403202522348,0.8869715158418775,0.05729421706742462,1.206393794549756
2145,Rd2.3_P5+6_MT_20210726,G14,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,6.855682676686602,0.3357833584452345,0.7923537853883154,0.05729421706742462,0.7352453765440223
2146,Rd2.3_P5+6_MT_20210726,G15,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,6.871553502765302,0.3516541845239347,0.7836850145362987,0.05729421706742462,0.6920792843813446
2147,Rd2.3_P5+6_MT_20210726,H13,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,7.4145273774176985,0.8946280591763314,0.5378858495621033,0.06552159163553402,0.5318761748077806
2148,Rd2.3_P5+6_MT_20210726,H14,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,7.8141803403139,1.294281022072533,0.4077393155320536,0.06552159163553402,1.1799400558927533
2149,Rd2.3_P5+6_MT_20210726,H15,Ionis676630_10_P2.3-5,Ionis676630_10uM_P2.3-5,7.6415760442349026,1.1216767259935354,0.45955940665090617,0.06552159163553402,0.9219022247745879
2150,Rd2.3_P5+6_MT_20210726,G16,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.106039596476201,0.5861402782348337,0.6661226399859839,0.0355914432155014,0.5385807260759907
